Primary City,Account Number,CUSTOMER_TYPE,Data Subscribed (GB),Data Bonus (GB),Bonus Used,YM
Onitsha,1000023,Retail,217.33,135.08,0,1-Sep-19
Onitsha,1000024,Retail,0,0,0,1-Jul-19
Onitsha,1000024,Retail,0,0,0,1-Aug-19
Onitsha,1000024,Retail,0,0,0,1-Oct-19
Onitsha,1000024,Retail,0,0,0,1-Nov-19
Onitsha,1000024,Retail,0,0,0,1-Dec-19
Onitsha,1000024,Retail,0,0,0,1-Sep-19
Abuja,1000025,Retail,226.6,26.58,9.53,1-Aug-19
Abuja,1000025,Retail,248.23,73.26,64.4,1-Jul-19
Abuja,1000025,Retail,289.43,50.82,48.68,1-Oct-19
Abuja,1000025,Retail,360.5,29.17,0,1-Dec-19
Abuja,1000025,Retail,363.59,151.92,151.92,1-Nov-19
Abuja,1000025,Retail,222.48,6.27,0,1-Sep-19
Kano,1000026,Retail,346.08,7.41,1.48,1-Jul-19
Kano,1000026,Retail,370.8,160.57,160.57,1-Oct-19
Kano,1000026,Retail,414.06,171.89,171.89,1-Aug-19
Kano,1000026,Retail,485.13,4.48,4.48,1-Nov-19
Kano,1000026,Retail,486.16,52.17,0.04,1-Dec-19
Kano,1000026,Retail,271.92,93.98,0,1-Sep-19
Abuja,1000027,Retail,0,0,0,1-Jul-19
Abuja,1000027,Retail,0,0,0,1-Aug-19
Abuja,1000027,Retail,0,0,0,1-Oct-19
Abuja,1000027,Retail,0,0,0,1-Nov-19
Abuja,1000027,Retail,0,0,0,1-Dec-19
Abuja,1000027,Retail,115.36,12.94,12.94,1-Dec-19
Abuja,1000027,Retail,120.51,107.62,107.62,1-Oct-19
Abuja,1000027,Retail,121.54,92.31,92.31,1-Jul-19
Abuja,1000027,Retail,127.72,9.85,9.85,1-Nov-19
Abuja,1000027,Retail,130.81,61.66,61.66,1-Aug-19
Abuja,1000027,Retail,399.64,111.24,111.24,1-Jul-19
Abuja,1000027,Retail,461.44,188.96,0,1-Oct-19
Abuja,1000027,Retail,486.16,44.86,44.86,1-Nov-19
Abuja,1000027,Retail,486.16,107.21,21.21,1-Dec-19
Abuja,1000027,Retail,491.31,145.34,145.34,1-Aug-19
Abuja,1000027,Retail,0,0,0,1-Sep-19
Abuja,1000027,Retail,107.12,11.05,11.05,1-Sep-19
Abuja,1000027,Retail,325.48,52.85,0,1-Sep-19
Kano,1000028,Retail,288.4,58.66,31.55,1-Oct-19
Kano,1000028,Retail,300.76,46.76,0,1-Jul-19
Kano,1000028,Retail,406.85,275.69,229.11,1-Jul-19
Kano,1000028,Retail,410.97,64.57,0,1-Aug-19
Kano,1000028,Retail,442.9,318.24,318.24,1-Oct-19
Kano,1000028,Retail,486.16,461.39,461.39,1-Nov-19
Kano,1000028,Retail,486.16,279.93,279.93,1-Dec-19
Kano,1000028,Retail,487.19,230.35,22.28,1-Aug-19
Kano,1000028,Retail,494.4,88.44,88.44,1-Dec-19
Kano,1000028,Retail,499.55,9.74,9.74,1-Nov-19
Kano,1000028,Retail,321.36,15.98,15.98,1-Sep-19
Kano,1000028,Retail,342.99,133.93,4.89,1-Sep-19
Abuja,1000029,Retail,312.09,131.94,131.94,1-Jul-19
Abuja,1000029,Retail,313.12,91.53,91.53,1-Oct-19
Abuja,1000029,Retail,347.11,321.91,321.91,1-Aug-19
Abuja,1000029,Retail,362.56,309.77,0,1-Dec-19
Abuja,1000029,Retail,366.68,126.99,49.22,1-Nov-19
Abuja,1000029,Retail,249.26,118.87,118.87,1-Sep-19
Kano,1000030,Retail,323.42,37.48,0,1-Jul-19
Kano,1000030,Retail,338.87,160.08,160.08,1-Oct-19
Kano,1000030,Retail,363.59,13.53,3.18,1-Dec-19
Kano,1000030,Retail,367.71,42.98,42.98,1-Nov-19
Kano,1000030,Retail,373.89,41.02,41.02,1-Aug-19
Kano,1000030,Retail,268.83,125.21,0,1-Sep-19
Onitsha,1000031,Retail,0,0,0,1-Jul-19
Onitsha,1000031,Retail,0,0,0,1-Aug-19
Onitsha,1000031,Retail,0,0,0,1-Oct-19
Onitsha,1000031,Retail,0,0,0,1-Nov-19
Onitsha,1000031,Retail,0,0,0,1-Dec-19
Onitsha,1000031,Retail,0,0,0,1-Sep-19
Lagos,1000032,Retail,323.42,47.1,47.1,1-Jul-19
Lagos,1000032,Retail,338.87,96.51,96.51,1-Oct-19
Lagos,1000032,Retail,363.59,127.97,19.97,1-Dec-19
Lagos,1000032,Retail,367.71,13.08,9.08,1-Nov-19
Lagos,1000032,Retail,373.89,131.6,131.6,1-Aug-19
Lagos,1000032,Retail,268.83,52.64,0,1-Sep-19
Lagos,1000033,Retail,256.47,102.88,102.88,1-Aug-19
Lagos,1000033,Retail,291.49,105.52,0,1-Jul-19
Lagos,1000033,Retail,298.7,85.1,0,1-Oct-19
Lagos,1000033,Retail,359.47,166.65,166.65,1-Dec-19
Lagos,1000033,Retail,362.56,146.15,146.15,1-Nov-19
Lagos,1000033,Retail,223.51,29.54,29.54,1-Sep-19
Onitsha,1000034,Retail,0,0,0,1-Jul-19
Onitsha,1000034,Retail,0,0,0,1-Aug-19
Onitsha,1000034,Retail,0,0,0,1-Oct-19
Onitsha,1000034,Retail,0,0,0,1-Nov-19
Onitsha,1000034,Retail,0,0,0,1-Dec-19
Onitsha,1000034,Retail,0,0,0,1-Sep-19
Kano,1000035,Retail,290.46,53.64,53.64,1-Jul-19
Kano,1000035,Retail,290.46,73.29,8.74,1-Oct-19
Kano,1000035,Retail,336.81,111.29,111.29,1-Aug-19
Kano,1000035,Retail,484.1,228.3,228.3,1-Nov-19
Kano,1000035,Retail,485.13,188.47,0,1-Dec-19
Kano,1000035,Retail,271.92,7.46,7.46,1-Sep-19
Port Harcourt,1000036,Retail,0,0,0,1-Aug-19
Port Harcourt,1000036,Retail,0,0,0,1-Oct-19
Port Harcourt,1000036,Retail,0,0,0,1-Nov-19
Port Harcourt,1000036,Retail,0,0,0,1-Dec-19
Port Harcourt,1000036,Retail,367.71,90.28,0,1-Jul-19
Port Harcourt,1000036,Retail,0,0,0,1-Sep-19
Abuja,1000037,Retail,290.46,127.4,127.4,1-Jul-19
Abuja,1000037,Retail,290.46,89.3,89.3,1-Oct-19
Abuja,1000037,Retail,336.81,139.36,139.36,1-Aug-19
Abuja,1000037,Retail,484.1,105.77,105.77,1-Nov-19
Abuja,1000037,Retail,485.13,84.94,84.94,1-Dec-19
Abuja,1000037,Retail,271.92,128.99,128.99,1-Sep-19
Onitsha,1000038,Retail,290.46,120.83,42.84,1-Jul-19
Onitsha,1000038,Retail,290.46,12.38,12.38,1-Oct-19
Onitsha,1000038,Retail,336.81,208.68,0,1-Aug-19
Onitsha,1000038,Retail,484.1,76.71,76.71,1-Nov-19
Onitsha,1000038,Retail,485.13,189.69,189.69,1-Dec-19
Onitsha,1000038,Retail,271.92,23.17,23.17,1-Sep-19
Onitsha,1000039,Retail,213.21,103.02,103.02,1-Oct-19
Onitsha,1000039,Retail,236.9,103.28,0,1-Jul-19
Onitsha,1000039,Retail,247.2,68.05,68.05,1-Aug-19
Onitsha,1000039,Retail,338.87,80.45,20.72,1-Dec-19
Onitsha,1000039,Retail,478.95,146.74,146.74,1-Nov-19
Onitsha,1000039,Retail,196.73,34.64,34.64,1-Sep-19
Port Harcourt,1000040,Retail,227.63,136.18,73.91,1-Jul-19
Port Harcourt,1000040,Retail,228.66,56.93,38.13,1-Oct-19
Port Harcourt,1000040,Retail,263.68,64.61,64.61,1-Aug-19
Port Harcourt,1000040,Retail,479.98,152.8,103.7,1-Nov-19
Port Harcourt,1000040,Retail,479.98,49.15,0,1-Dec-19
Port Harcourt,1000040,Retail,211.15,33.86,15.74,1-Sep-19
Lagos,1000041,Retail,268.83,91.3,90.36,1-Jul-19
Lagos,1000041,Retail,275.01,51.96,51.96,1-Oct-19
Lagos,1000041,Retail,314.15,196.44,0,1-Aug-19
Lagos,1000041,Retail,484.1,223.26,223.26,1-Nov-19
Lagos,1000041,Retail,484.1,77.42,77.42,1-Dec-19
Lagos,1000041,Retail,253.38,0.07,0.07,1-Sep-19
Kano,1000042,Retail,268.83,49.76,0,1-Jul-19
Kano,1000042,Retail,275.01,57.71,0,1-Oct-19
Kano,1000042,Retail,314.15,8.9,8.9,1-Aug-19
Kano,1000042,Retail,484.1,151.73,151.73,1-Nov-19
Kano,1000042,Retail,484.1,195.51,0,1-Dec-19
Kano,1000042,Retail,253.38,6.45,5.94,1-Sep-19
Port Harcourt,1000043,Retail,0,0,0,1-Nov-19
Port Harcourt,1000043,Retail,0,0,0,1-Dec-19
Port Harcourt,1000043,Retail,352.26,1.94,1.94,1-Jul-19
Port Harcourt,1000043,Retail,392.43,73.14,73.14,1-Oct-19
Port Harcourt,1000043,Retail,429.51,314.21,0,1-Aug-19
Port Harcourt,1000043,Retail,283.25,48.87,0,1-Sep-19
Port Harcourt,1000044,Retail,346.08,5.04,0.72,1-Jul-19
Port Harcourt,1000044,Retail,370.8,117.66,117.66,1-Oct-19
Port Harcourt,1000044,Retail,414.06,79.19,43.34,1-Aug-19
Port Harcourt,1000044,Retail,485.13,103.87,103.87,1-Nov-19
Port Harcourt,1000044,Retail,486.16,0.02,0,1-Dec-19
Port Harcourt,1000044,Retail,271.92,87.12,28.84,1-Sep-19
Kano,1000045,Retail,0,0,0,1-Nov-19
Kano,1000045,Retail,0,0,0,1-Dec-19
Kano,1000045,Retail,399.64,184.28,184.28,1-Jul-19
Kano,1000045,Retail,461.44,176.78,0,1-Oct-19
Kano,1000045,Retail,491.31,104.41,0,1-Aug-19
Kano,1000045,Retail,325.48,43.85,43.85,1-Sep-19
Port Harcourt,1000046,Retail,161.71,17.58,0,1-Jul-19
Port Harcourt,1000046,Retail,162.74,64.88,58.46,1-Oct-19
Port Harcourt,1000046,Retail,183.34,26.17,26.17,1-Aug-19
Port Harcourt,1000046,Retail,476.89,59.28,59.28,1-Dec-19
Port Harcourt,1000046,Retail,477.92,231.68,231.68,1-Nov-19
Port Harcourt,1000046,Retail,122.57,28.29,28.29,1-Sep-19
Abuja,1000047,Retail,229.69,45.51,45.51,1-Oct-19
Abuja,1000047,Retail,234.84,23.08,0,1-Jul-19
Abuja,1000047,Retail,267.8,173.4,173.4,1-Aug-19
Abuja,1000047,Retail,479.98,36.62,36.62,1-Nov-19
Abuja,1000047,Retail,479.98,125.44,125.44,1-Dec-19
Abuja,1000047,Retail,214.24,5.87,5.87,1-Sep-19
Lagos,1000048,Retail,190.55,28.3,0,1-Oct-19
Lagos,1000048,Retail,192.61,24.24,7.25,1-Jul-19
Lagos,1000048,Retail,208.06,115.74,115.74,1-Aug-19
Lagos,1000048,Retail,479.98,94.24,94.24,1-Dec-19
Lagos,1000048,Retail,481.01,102.95,0,1-Nov-19
Lagos,1000048,Retail,139.05,32.29,32.29,1-Sep-19
Port Harcourt,1000049,Retail,352.26,16.7,0,1-Jul-19
Port Harcourt,1000049,Retail,392.43,251.35,160.6,1-Oct-19
Port Harcourt,1000049,Retail,429.51,100.25,50.51,1-Aug-19
Port Harcourt,1000049,Retail,485.13,230.05,230.05,1-Nov-19
Port Harcourt,1000049,Retail,486.16,120.36,30.67,1-Dec-19
Port Harcourt,1000049,Retail,283.25,54.86,54.86,1-Sep-19
Port Harcourt,1000050,Retail,164.8,64.86,64.86,1-Oct-19
Port Harcourt,1000050,Retail,168.92,78.32,78.32,1-Jul-19
Port Harcourt,1000050,Retail,184.37,80.23,80.23,1-Aug-19
Port Harcourt,1000050,Retail,477.92,10.55,10.55,1-Nov-19
Port Harcourt,1000050,Retail,477.92,208.31,0,1-Dec-19
Port Harcourt,1000050,Retail,123.6,8.89,0,1-Sep-19
Port Harcourt,1000051,Retail,362.56,63.21,0,1-Dec-19
Port Harcourt,1000051,Retail,366.68,199.86,199.86,1-Nov-19
Port Harcourt,1000051,Retail,687.01,191.79,191.79,1-Jul-19
Port Harcourt,1000051,Retail,689.07,121.63,104.05,1-Aug-19
Port Harcourt,1000051,Retail,730.27,169.78,169.78,1-Oct-19
Port Harcourt,1000051,Retail,569.59,46.26,0,1-Sep-19
Kano,1000052,Retail,190.55,68.96,30.15,1-Oct-19
Kano,1000052,Retail,192.61,6.31,0.78,1-Jul-19
Kano,1000052,Retail,208.06,49.83,49.83,1-Aug-19
Kano,1000052,Retail,479.98,146.5,73.08,1-Dec-19
Kano,1000052,Retail,481.01,91.92,91.92,1-Nov-19
Kano,1000052,Retail,139.05,14.56,12.11,1-Sep-19
Onitsha,1000053,Retail,288.4,96.38,0,1-Jul-19
Onitsha,1000053,Retail,305.91,10.92,0,1-Oct-19
Onitsha,1000053,Retail,338.87,88.62,0,1-Aug-19
Onitsha,1000053,Retail,364.62,90.69,90.69,1-Dec-19
Onitsha,1000053,Retail,367.71,130.4,130.4,1-Nov-19
Onitsha,1000053,Retail,212.18,5.96,0,1-Sep-19
Kano,1000054,Retail,190.55,72.72,0,1-Oct-19
Kano,1000054,Retail,192.61,6.1,6.1,1-Jul-19
Kano,1000054,Retail,208.06,33.28,0,1-Aug-19
Kano,1000054,Retail,479.98,167.43,0,1-Dec-19
Kano,1000054,Retail,481.01,247.83,0,1-Nov-19
Kano,1000054,Retail,139.05,30.16,30.16,1-Sep-19
Lagos,1000055,Retail,154.5,58.48,58.48,1-Jul-19
Lagos,1000055,Retail,300.76,60.7,0,1-Aug-19
Lagos,1000055,Retail,406.85,280.97,280.97,1-Jul-19
Lagos,1000055,Retail,409.94,347.19,0,1-Oct-19
Lagos,1000055,Retail,442.9,143.56,143.56,1-Oct-19
Lagos,1000055,Retail,486.16,64.51,0,1-Nov-19
Lagos,1000055,Retail,486.16,84.52,84.52,1-Dec-19
Lagos,1000055,Retail,487.19,270.67,270.67,1-Aug-19
Lagos,1000055,Retail,559.29,4.54,0,1-Dec-19
Lagos,1000055,Retail,565.47,230.45,230.45,1-Nov-19
Lagos,1000055,Retail,314.15,200.63,94.13,1-Sep-19
Lagos,1000055,Retail,321.36,111.96,40.55,1-Sep-19
Port Harcourt,1000056,Retail,288.4,6.23,6.23,1-Jul-19
Port Harcourt,1000056,Retail,305.91,134.57,0,1-Oct-19
Port Harcourt,1000056,Retail,338.87,86.04,0,1-Aug-19
Port Harcourt,1000056,Retail,364.62,137.64,137.64,1-Dec-19
Port Harcourt,1000056,Retail,367.71,8.92,8.92,1-Nov-19
Port Harcourt,1000056,Retail,212.18,72.8,39.4,1-Sep-19
Kano,1000057,Retail,177.16,117.45,41.73,1-Oct-19
Kano,1000057,Retail,188.49,41.17,21.96,1-Jul-19
Kano,1000057,Retail,203.94,6.02,1.66,1-Aug-19
Kano,1000057,Retail,478.95,165.09,165.09,1-Nov-19
Kano,1000057,Retail,478.95,325.41,325.41,1-Dec-19
Kano,1000057,Retail,136.99,18.5,15.74,1-Sep-19
Kano,1000058,Retail,323.42,111.96,0,1-Jul-19
Kano,1000058,Retail,338.87,82.53,82.53,1-Oct-19
Kano,1000058,Retail,363.59,22.81,0,1-Dec-19
Kano,1000058,Retail,367.71,20.72,8.41,1-Nov-19
Kano,1000058,Retail,373.89,14.15,14.15,1-Aug-19
Kano,1000058,Retail,268.83,38.25,38.25,1-Sep-19
Kano,1000059,Retail,312.09,36.52,0,1-Jul-19
Kano,1000059,Retail,313.12,102.5,102.5,1-Oct-19
Kano,1000059,Retail,347.11,210.5,210.5,1-Aug-19
Kano,1000059,Retail,362.56,49.84,49.84,1-Dec-19
Kano,1000059,Retail,366.68,48.18,0,1-Nov-19
Kano,1000059,Retail,249.26,5.71,5.71,1-Sep-19
Port Harcourt,1000060,Retail,323.42,124.02,124.02,1-Jul-19
Port Harcourt,1000060,Retail,338.87,51.18,0,1-Oct-19
Port Harcourt,1000060,Retail,363.59,30.32,30.32,1-Dec-19
Port Harcourt,1000060,Retail,367.71,21.59,12.13,1-Nov-19
Port Harcourt,1000060,Retail,373.89,24.15,11.53,1-Aug-19
Port Harcourt,1000060,Retail,268.83,43.03,0,1-Sep-19
Onitsha,1000061,Retail,0,0,0,1-Jul-19
Onitsha,1000061,Retail,0,0,0,1-Aug-19
Onitsha,1000061,Retail,0,0,0,1-Oct-19
Onitsha,1000061,Retail,0,0,0,1-Nov-19
Onitsha,1000061,Retail,0,0,0,1-Dec-19
Onitsha,1000061,Retail,0,0,0,1-Sep-19
Abuja,1000062,Retail,312.09,28.14,28.14,1-Jul-19
Abuja,1000062,Retail,313.12,142.18,142.18,1-Oct-19
Abuja,1000062,Retail,347.11,42.67,8.76,1-Aug-19
Abuja,1000062,Retail,362.56,79.58,0,1-Dec-19
Abuja,1000062,Retail,366.68,61.39,0,1-Nov-19
Abuja,1000062,Retail,249.26,102.09,0,1-Sep-19
Lagos,1000063,Retail,292.52,13.13,8.86,1-Aug-19
Lagos,1000063,Retail,328.57,294.94,109.29,1-Jul-19
Lagos,1000063,Retail,340.93,101.78,101.78,1-Oct-19
Lagos,1000063,Retail,361.53,184.32,0,1-Dec-19
Lagos,1000063,Retail,364.62,167.48,167.48,1-Nov-19
Lagos,1000063,Retail,256.47,91.5,91.5,1-Sep-19
Port Harcourt,1000064,Retail,151.41,51.78,0,1-Aug-19
Port Harcourt,1000064,Retail,298.7,186.68,186.68,1-Oct-19
Port Harcourt,1000064,Retail,364.62,187.45,0,1-Nov-19
Port Harcourt,1000064,Retail,366.68,86.61,86.61,1-Dec-19
Port Harcourt,1000064,Retail,374.92,101.2,28.27,1-Jul-19
Port Harcourt,1000064,Retail,196.73,93.59,93.59,1-Sep-19
Abuja,1000065,Retail,186.43,64.47,0,1-Oct-19
Abuja,1000065,Retail,242.05,12.88,0,1-Jul-19
Abuja,1000065,Retail,307.97,104.41,0,1-Aug-19
Abuja,1000065,Retail,362.56,0.06,0.06,1-Dec-19
Abuja,1000065,Retail,367.71,160.91,0,1-Nov-19
Abuja,1000065,Retail,116.39,45.87,37.93,1-Sep-19
Onitsha,1000066,Retail,213.21,77.88,77.88,1-Oct-19
Onitsha,1000066,Retail,278.1,73.2,73.2,1-Jul-19
Onitsha,1000066,Retail,354.32,129.35,129.35,1-Aug-19
Onitsha,1000066,Retail,364.62,11.15,11.15,1-Dec-19
Onitsha,1000066,Retail,367.71,104.62,104.62,1-Nov-19
Onitsha,1000066,Retail,133.9,0.9,0,1-Sep-19
Kano,1000067,Retail,0,0,0,1-Jul-19
Kano,1000067,Retail,0,0,0,1-Aug-19
Kano,1000067,Retail,0,0,0,1-Oct-19
Kano,1000067,Retail,0,0,0,1-Nov-19
Kano,1000067,Retail,0,0,0,1-Dec-19
Kano,1000067,Retail,0,0,0,1-Sep-19
Lagos,1000068,Retail,0,0,0,1-Jul-19
Lagos,1000068,Retail,0,0,0,1-Aug-19
Lagos,1000068,Retail,0,0,0,1-Oct-19
Lagos,1000068,Retail,0,0,0,1-Nov-19
Lagos,1000068,Retail,0,0,0,1-Dec-19
Lagos,1000068,Retail,0,0,0,1-Sep-19
